year_bucket,event_date,id,name
2023,20230102,6dcaf75c-fc82-4abc-a9c4-f309c243c9e4,Isaac Asimov's Birthday
2023,20230102,c5fc99ae-5152-4e32-ab66-69af3707c7e7,Sci-Fi Day
2023,20230115,594efae0-1fbf-4f25-96b7-6b02390bb837,Apple Computer Day
2023,20230207,5ab271a9-08d7-4d2c-8e76-a738cc067750,e Day
2023,20230314,da23f06d-1893-4301-aa16-5e8999db7bec,Pi Day
2023,20230325,dceadce5-3b19-4fd7-a382-c9e6f9c7031b,Fall of Sauron Day
2023,20230405,56cb1449-c175-4eb8-aa04-4fff735611ff,First Contact Day
2023,20230430,20675554-adc6-4947-8217-8b52243959c1,International Tabletop Day
2023,20230504,6738fb07-b405-45ea-aa56-bbafa9917e72,Star Wars Day
2023,20230525,c44a8343-6978-4674-a3e0-32ca77b843c4,Towel Day
2023,20230616,37aa46c9-b4ca-48dd-b4dc-c44324da1e36,Captain Picard Day
2023,20230628,7b4a030c-0107-4cb8-83c1-6b06be87622e,CAPS LOCK DAY
2023,20230728,632602b3-c53b-4ea7-8573-71bc76a8f962,SysAdmin Appreciation Day
2023,20230804,5f1fdef0-b48f-41c0-8a35-462b59116502,International Beer Day
2023,20230812,90e15a9a-367d-4e06-8f46-a6d294ab56ac,IBM PC Day
2023,20230820,56635b68-b762-4952-9844-f9d428516b05,Fall of Arasaka Tower Day
2023,20230919,61339711-8506-4c1f-a44e-b2add99153aa,Talk Like a Pirate Day
2023,20230922,f6374e5e-5204-4826-a724-bdd6fe75ea8a,Hobbit Day
2023,20231002,d919354d-f530-44a0-931d-5ae776a718b9,Ada Lovelace Day
2023,20231015,46289a89-76c5-4fa1-8ea5-2f1d597f2ae4,Marty McFly Day
2023,20231123,21a0fc78-c4c0-46b5-82bf-a6b301025a06,Tardis Day
2023,20231123,bb0c225b-45f1-408b-9444-703d4b01cd50,Fibonacci Day
2023,20231130,5fffd93b-936b-4d4d-a07d-1a1ffbefdbf4,Computer Security Day
2023,20231221,f8ff6ba9-eb06-4ba0-8cae-7e02e02c3077,Rush 2112 Day
